Generation,GA_Fitness
0,6.450730933327652
1,2.3315601837061877
2,2.3315601837061877
3,2.070912353597979
4,1.826136687970628
5,2.0655510441452094
6,1.1763675231510007
7,1.3443498061381831
8,1.35997936889542
9,1.6202567581569873
10,1.665940482233168
11,1.6772077586665546
12,1.6909821716441158
13,1.7209371430936073
14,1.7209371430936073
15,1.7209371430936073
16,1.720954492303619
17,1.720954492303619
18,1.7211507849515932
19,1.7211507849515932
20,1.7212049812428702
21,1.7212334490806995
22,1.7212334490806995
23,1.7212391138019072
24,1.3738024946211418
25,1.3598924670623802
26,1.35015023808662
27,1.3530228784636442
28,1.3589796747016756
29,1.3651695934205712
30,1.3720912435675565
31,1.3723949986172315
32,1.373712645770361
33,1.3751724528818379
34,1.3754126997946514
35,1.3754877069897695
36,1.375493764539403
37,1.3754980469908062
38,1.3755037599265059
39,1.3755088735347236
40,1.3755114316601293
41,1.3755118752853441
42,1.3755118861084483
43,1.375511958500713
44,1.375512105322592
45,1.3755121240390693
46,1.375512130777878
47,1.3755121463991529
48,1.3755121970147144
49,1.3755122073240216
50,1.3755122083981135
51,1.3755122110721203
52,1.3755122111230307
53,1.3755122111230307
54,1.3755122112129037
55,1.3755122115128842
56,1.3755122115275213
57,1.3755122115338239
58,1.3755122115360408
59,1.3755122115382719
60,1.3755122115385525
61,1.375512211538659
62,1.3755122115386875
63,1.3755122115388367
64,1.3755122115388474
65,1.3755122115388474
66,1.3755122115388652
67,1.3755122115388652
68,1.3755122115388652
69,1.3755122115388652
70,1.3755122115388652
71,1.3755122115388687
72,1.3755122115388723
73,1.3755122115388687
74,1.3755122115388687
75,1.3755122115388687
76,1.3755122115388687
77,1.3755122115388687
78,1.3755122115388687
79,1.3755122115388687
80,1.3755122115388687
81,1.3755122115388687
82,1.3755122115388687
83,1.3755122115388687
84,1.3755122115388687
85,1.3755122115388687
86,1.3755122115388687
87,1.3755122115388687
88,1.3755122115388687
89,1.3755122115388687
90,1.3755122115388687
91,1.3755122115388687
92,1.3755122115388687
93,1.3755122115388687
94,1.3755122115388687
95,1.3755122115388687
96,1.3755122115388687
97,1.3755122115388687
98,1.3755122115388687
99,1.3755122115388687
